                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0203,                 1.1111,                 1.2046,                 0.7421,                0.71329,                0.78447,                 0.6138,                0.85366,                0.70345,                 1.0201,                 0.0937,                 0.0007,                 0.0007
                      1,                 1.0123,                 1.0049,                 1.2049,                0.77177,                0.75028,                 0.8048,                0.63673,                 0.8422,                0.66352,                 1.0125,               0.086005,               0.001005,               0.001005
                      2,                0.98487,                0.87223,                 1.1366,                0.82144,                0.73341,                0.81893,                0.64607,                0.83377,                0.64675,                 1.0051,               0.077782,               0.000782,               0.000782
